Feature,Condition,Mean,SD,Min,Max,N,Shapiro_W,Shapiro_p
Grammar_Errors,Raw,10.3564,2.8437,5.1947,14.9528,60,0.9447,0.0089
Grammar_Errors,AI_Voice,1.8607,0.6437,0.5428,2.9599,60,0.9614,0.0549
MTLD,Raw,55.9580,7.7712,41.2919,69.9024,60,0.9701,0.1482
MTLD,AI_Voice,90.2987,6.0640,80.0912,99.8096,60,0.9379,0.0043
Stance_Markers,Raw,3.9207,1.0325,2.0366,5.9342,60,0.9733,0.2104
Stance_Markers,AI_Voice,1.2149,0.4363,0.5038,1.9946,60,0.9562,0.0308
First_Person_Expressions,Raw,2.3554,0.9361,1.0153,3.9932,60,0.9326,0.0026
First_Person_Expressions,AI_Voice,0.7905,0.4069,0.2016,1.4833,60,0.9249,0.0012
Authenticity_Gap_Proxy,Raw,0.3903,1.0119,-1.1754,3.2336,60,0.9594,0.0440
Authenticity_Gap_Proxy,AI_Voice,-0.3903,0.8265,-1.6074,1.5425,60,0.9380,0.0044
